Rank,Lane,Name,Winning Rate,Pick rate
Bronze,Mid,Veigar,48.88,2.69
Bronze,Mid,Pyke,49.71,3.07
Bronze,Mid,Zoe,45.94,3.13
Bronze,Mid,Lux,49.89,3.24
Bronze,Mid,Nocturne,49.68,3.3
Bronze,Mid,Kassadin,48.26,3.32
Bronze,Mid,Syndra,49.03,4.42
Bronze,Mid,Ekko,49.63,4.47
Bronze,Mid,Twisted Fate,47.3,4.71
Bronze,Mid,Galio,49.5,4.87
Bronze,Mid,Vladimir,48.74,
Bronze,Mid,Diana,48.16,5.98
Bronze,Mid,Fizz,49.89,6.1
Bronze,Mid,Katarina,49.01,6.38
Bronze,Mid,Irelia,46.61,6.4
Bronze,Mid,Pantheon,45.78,7.08
Bronze,Mid,Akali,43.8,7.31
Bronze,Mid,LeBlanc,47.38,8.16
Bronze,Mid,Talon,47.03,8.68
Bronze,Mid,Ahri,47.94,8.85
Bronze,Mid,Sylas,47.02,10.09
Bronze,Mid,Zed,48.53,10.21
Bronze,Mid,Yasuo,51.47,17.02
Bronze,Bottom,Azir,39.22,0.03
Bronze,Bottom,Tahm Kench,35.9,0.04
Bronze,Bottom,Viktor,54.68,0.04
Bronze,Bottom,Singed,22.6,0.05
Bronze,Bottom,Rengar,52.13,0.06
Bronze,Bottom,Anivia,24.7,0.07
Bronze,Bottom,Jayce,41.82,0.07
Bronze,Bottom,Kayle,45.63,0.07
Bronze,Bottom,Vel'Koz,44.24,0.09
Bronze,Bottom,Taliyah,46.76,0.09
Bronze,Bottom,Neeko,43.18,0.13
Bronze,Bottom,Quinn,46.41,0.13
Bronze,Bottom,Kindred,46.57,0.15
Bronze,Bottom,Twisted Fate,41.62,0.17
Bronze,Bottom,Corki,47.38,0.2
Bronze,Bottom,,37.59,0.26
Bronze,Bottom,Veigar,45.91,0.28
Bronze,Bottom,Zed,47.71,0.28
Bronze,Bottom,,42.53,0.3
Bronze,Bottom,Senna,44.21,0.32
Bronze,Bottom,Swain,51.7,0.37
Bronze,Bottom,Heimerdinger,47.6,0.43
Bronze,Bottom,Ziggs,48.44,0.54
Bronze,Bottom,syndra,45.89,0.56
Bronze,Bottom,Cassiopeia,51.2,0.78
Bronze,Bottom,Kog'Maw,50.84,0.86
Bronze,Bottom,Twitch,49.5,1.23
Bronze,Bottom,Draven,48.64,1.29
Bronze,Bottom,Xayah,47.74,2.52
Bronze,Bottom,Sivir,50.56,3.19
Bronze,Bottom,Yasuo,51.6,4.09
Bronze,Bottom,Tristana,48.32,4.12
Bronze,Bottom,Kalista,46.77,4.53
Bronze,Bottom,Jhin,50.1,5.99
Bronze,Bottom,Aphelios,49.03,7.51
Bronze,Bottom,Jinx,50.18,8.41
Bronze,Bottom,Vayne,49.65,10.39
Bronze,Bottom,Lucian,46.19,10.67
Bronze,Bottom,Varus,49.13,13.64
Bronze,Bottom,Kai'Sa,47.39,15.86
Bronze,Bottom,Miss Fortune,47.41,18.38
Bronze,Bottom,Caitlyn,48.63,18.78
Bronze,Bottom,Ashe,49.27,20.84
Bronze,Bottom,Ezreal,,37.83
Bronze,Supporter,Gangplank,42.24,0.03
Bronze,Supporter,Gnar,42.86,0.03
Bronze,Supporter,Sejuani,46.79,0.03
Bronze,Supporter,Viktor,47.69,0.04
Bronze,Supporter,Rengar,45.95,0.05
Bronze,Supporter,Camille,48.47,0.05
Bronze,Supporter,,46.33,0.06
Bronze,Supporter,Ivern,39.15,0.07
Bronze,Supporter,Lissandra,44.58,0.07
Bronze,Supporter,Orianna,44.62,0.07
Bronze,Supporter,,40.78,0.08
Bronze,Supporter,Kayle,41.61,0.09
Bronze,Supporter,Malzahar,43.99,0.09
Bronze,Supporter,Kennen,45.56,0.1
Bronze,Supporter,Singed,44.52,0.12
Bronze,Supporter,Rumble,48.39,0.12
Bronze,Supporter,Sion,45.68,0.13
Bronze,Supporter,Wukong,45.97,0.13
Bronze,Supporter,Dr. Mundo,38.59,0.14
Bronze,Supporter,Jarvan IV,48.24,0.14
Bronze,Supporter,Twisted Fate,41.33,0.15
Bronze,Supporter,Nidalee,47.26,0.16
Bronze,Supporter,Trundle,39.37,0.18
Bronze,Supporter,Amumu,42.63,0.19
Bronze,Supporter,,44.34,0.2
Bronze,Supporter,Cho'Gath,45.38,0.2
Bronze,Supporter,Heimerdinger,42.35,0.21
Bronze,Supporter,Zoe,46.77,0.23
Bronze,Supporter,Syndra,38.34,0.27
Bronze,Supporter,Varus,42.23,0.28
Bronze,Supporter,Anivia,36.81,0.31
Bronze,Supporter,Ahri,49.91,0.32
Bronze,Supporter,LeBlanc,48.13,0.37
Bronze,Supporter,Nunu,33.76,0.41
Bronze,Supporter,Ziggs,,0.44
Bronze,Supporter,Poppy,46.41,0.49
Bronze,Supporter,Ornn,45.75,0.52
Bronze,Supporter,Annie,46.21,0.52
Bronze,Supporter,Tahm Kench,46.35,0.56
Bronze,Supporter,Zac,50.99,0.66
Bronze,Supporter,Fiddlesticks,48.19,0.74
Bronze,Supporter,Ashe,42.66,0.98
Bronze,Supporter,Teemo,47.32,0.98
Bronze,Supporter,Shen,48.15,0.99
Bronze,Supporter,Volibear,39.97,1.12
Bronze,Supporter,Pantheon,45.86,1.22
Bronze,Supporter,Miss Fortune,43.9,1.37
Bronze,Supporter,Neeko,45.69,1.5
Bronze,Supporter,Taric,49.2,1.59
Bronze,Supporter,Shaco,51.93,1.68
Bronze,Supporter,Braum,48.79,1.74
Bronze,Supporter,Janna,48.9,1.74
Bronze,Supporter,Vel'Koz,49.89,1.8
Bronze,Supporter,Bard,49.72,1.81
Bronze,Supporter,Rakan,48.5,1.98
Bronze,Supporter,Zilean,50.76,2.03
Bronze,Supporter,Veigar,47.35,2.06
Bronze,Supporter,Zyra,49.49,2.07
Bronze,Supporter,Maokai,50.91,2.46
